CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
William T. Esrey,SPRINT PCS GROUP,3/18/2003,4/1/1985,2002,1100,63,chairman & CEO,MALE,Westwood,KS,PCS.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCS.1
Gary D. Forsee,SPRINT PCS GROUP,Current,3/19/2003,2003,813.41,53,chairman & CEO,MALE,Westwood,KS,PCS.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCS.1
Shon A. Boney,SPROUTS FARMERS MARKET,8/23/2012,1/1/2005,2012,297.596,44,Chairman,MALE,Phoenix,AZ,SFM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFM
J. Douglas Sanders,SPROUTS FARMERS MARKET,8/6/2015,8/23/2012,2015,570.769,46,Executive Chairman,MALE,Phoenix,AZ,SFM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFM
"Amin N. Maredia, CPA",SPROUTS FARMERS MARKET,12/30/2018,8/6/2015,2018,935.577,46,Chief Executive Officer and Director,MALE,Phoenix,AZ,SFM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFM
Jack L. Sinclair,SPROUTS FARMERS MARKET,Current,6/24/2019,2023,1191.347,62,CEO & Director,MALE,Phoenix,AZ,SFM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SFM
Archie C. Black,SPS COMMERCE INC,10/2/2023,1/1/2001,2023,538,61,Executive Chair,MALE,Minneapolis,MN,SPSC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPSC
Charles W. Grigg,SPS TECHNOLOGIES INC,4/1/2002,12/1/1993,2001,617.4,62,chairman & CEO,MALE,Jenkintown,PA,ST.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ST.1
John S. Thompson,SPS TECHNOLOGIES INC,Current,4/1/2002,2002,500,55,president & CEO,MALE,Jenkintown,PA,ST.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ST.1
Jack Noonan,SPSS INC,Current,1/1/1992,2008,600,61,"chairman, president & CEO",MALE,Chicago,IL,SPSS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPSS
Dale A. Johnson,SPX CORP-OLD,6/28/1995,2/1/1990,1995,252,57,chmn. & CEO,MALE,Muskegon,MI,SPW.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPW.2
John B. Blystone,SPX CORP-OLD,Current,12/18/1995,1997,650,44,"chmn., pres. & CEO",MALE,Muskegon,MI,SPW.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPW.2
Christopher J. Kearney,SPX FLOW INC,12/31/2015,12/1/2014,2015,1224.8,59,"Chairman of The Board, Chief Executive Officer and President",MALE,Charlotte,NC,FLOW.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLOW.2
Marcus G. Michael,SPX FLOW INC,Current,1/1/2016,2021,950,58,"President, CEO & Director",MALE,Charlotte,NC,FLOW.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLOW.2
Edmund M. Carpenter,SPX TECHNOLOGIES INC,Current,5/1/1988,1995,816.923,53,chmn. & CEO,MALE,Charlotte,NC,SPXC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPXC
Michael D. Lockhart,SPX TECHNOLOGIES INC,Current,10/19/1995,1997,681.385,48,chmn. & CEO,MALE,Charlotte,NC,SPXC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPXC
Christopher J. Kearney,SPX TECHNOLOGIES INC,9/14/2015,12/9/2004,2015,904.468,59,"Chairman, Chief Executive Officer and President",MALE,Charlotte,NC,SPXC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPXC
"Eugene Joseph Lowe, III",SPX TECHNOLOGIES INC,Current,9/26/2015,2023,1026.849,55,"President, CEO & Director",MALE,Charlotte,NC,SPXC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPXC
John B. Blystone,SPX TECHNOLOGIES INC,12/8/2004,,2004,1362.308,50,"chairman, president & CEO",MALE,Charlotte,NC,SPXC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPXC
"Renato A. DiPentima, Ph.D.",SRA INTERNATIONAL INC,4/1/2007,1/1/2005,2007,435,66,former president & CEO,MALE,Fairfax,VA,SRX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRX
Stanton David Sloane,SRA INTERNATIONAL INC,7/21/2011,4/2/2007,2012,39.765,62,"Chief Executive Officer, President and Director",MALE,Fairfax,VA,SRX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRX
William L. Ballhaus,SRA INTERNATIONAL INC,1/4/2016,7/25/2011,2015,897.417,47,"Chief Executive Officer, President and Director",MALE,Fairfax,VA,SRX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRX
Edward Holloway,SRC ENERGY INC,12/31/2015,9/1/2008,2013,330,61,"Chief Executive Officer, President and Director",MALE,Denver,CO,SRCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCI
"William E. Scaff, Jr.",SRC ENERGY INC,12/31/2015,1/22/2014,2015,319.613,58,"Co-Chief Executive Officer, Treasurer and Director",MALE,Denver,CO,SRCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCI
Lynn Alan Peterson,SRC ENERGY INC,1/13/2020,1/1/2016,2018,730,65,"President, CEO & Chairman",MALE,Denver,CO,SRCI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCI
William C. Stone,SS&C TECHNOLOGIES HLDGS INC,Current,1/1/1986,2023,1000,68,"Founder, Chairman of the Board & CEO",MALE,Windsor,CT,SSNC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SSNC
Peter S. Rummell,ST JOE CO,5/13/2008,1/1/1997,2007,861.571,61,,MALE,Panama City Beach,FL,JOE,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOE
William Britton Greene,ST JOE CO,3/3/2011,5/13/2008,2010,714.808,55,Chief Executive Officer and President,MALE,Panama City Beach,FL,JOE,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOE
"L. Park Brady, Jr.",ST JOE CO,8/14/2014,6/20/2011,2014,493.269,66,Special Advisor,MALE,Panama City Beach,FL,JOE,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOE
Jorge Luis Gonzalez,ST JOE CO,Current,11/18/2015,2023,505.631,58,"President, CEO, COO & Director",MALE,Panama City Beach,FL,JOE,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOE
Robert E. Gray,ST JOHN KNITS INTL INC,Current,1/1/1962,1998,1617.132,73,chmn. & CEO,MALE,Irvine,CA,SJKI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJKI
Lawrence A. Lehmkuhl,ST JUDE MEDICAL INC,4/12/1993,2/1/1985,1992,302.5,,,MALE,St. Paul,MN,STJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
Ronald A. Matricaria,ST JUDE MEDICAL INC,5/4/1999,4/12/1993,1998,750,56,chmn. & CEO,MALE,St. Paul,MN,STJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
Terry L. Shepherd,ST JUDE MEDICAL INC,5/12/2004,5/5/1999,2003,722.885,50,chairman & CEO,MALE,St. Paul,MN,STJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
Daniel J. Starks,ST JUDE MEDICAL INC,1/1/2015,5/1/2004,2014,1097.574,59,"Chairman, Chief Executive Officer and President",MALE,St. Paul,MN,STJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
Michael T. Rousseau,ST JUDE MEDICAL INC,Current,1/1/2016,2015,800,59,"Chief Executive Officer, President, Chief Operating Officer and Director",MALE,St. Paul,MN,STJ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
Joseph C. Scully,ST PAUL BANCORP INC,Current,1/1/1982,1998,426.864,58,chmn. & CEO,MALE,Chicago,IL,SPBC.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPBC.1
Douglas W. Leatherdale,ST PAUL COS,10/10/2001,5/1/1990,2001,1082.445,64,"chairman, president & CEO",MALE,Saint Paul,MN,SPC.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPC.2
Jay S. Fishman,ST PAUL COS,Current,10/10/2001,2004,1038.462,52,president & CEO,MALE,Saint Paul,MN,SPC.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPC.2
David Bailey,STAAR SURGICAL CO,11/1/2007,1/1/2001,2007,415.246,50,,MALE,Lake Forest,CA,STAA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STAA
