CEO_name,Company,Left_Date,Start_Date,YEAR,Salary (x1000),Age,Title,Gender,City,State,Ticker,SEC Filing
Dennis E. Foster,360 COMMUNICATIONS CO,Current,2/6/1996,1997,472.567,57,pres. & CEO,MALE,Chicago,IL,XO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XO
Eric A. Benhamou,3COM CORP,1/1/2001,9/1/1990,2000,619.551,45,chairman & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Bruce L. Claflin,3COM CORP,1/11/2006,1/1/2001,2005,622.835,53,president & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Edgar Masri,3COM CORP,4/1/2008,8/18/2006,2007,617.5,50,former president & CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Yu-Lang Mao,3COM CORP,Current,4/29/2008,2008,650,65,CEO,MALE,Marlborough,MA,COMS.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COMS.
Abraham N. Reichental,3D SYSTEMS CORP,10/28/2015,9/19/2003,2015,797.972,58,"Chief Executive Officer, President, Executive Director, Member of Executive Committee and Member of Sustainability Committee",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Vyomesh I. Joshi,3D SYSTEMS CORP,5/26/2020,4/1/2016,2019,953,65,"President, CEO & Director",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
"Jeffrey Alan Graves, Ph.D.",3D SYSTEMS CORP,Current,5/26/2020,2022,849.8,61,"President, CEO & Director",MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Menno Ellis,3D SYSTEMS CORP,Current,,2020,376.562,47,Executive Vice President of Healthcare Solutions,MALE,Rock Hill,SC,DDD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DDD
Livio D. DeSimone,3M CO,12/31/2000,11/1/1991,2000,1047.6,63,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"W. James McNerney, Jr.",3M CO,6/30/2005,1/1/2001,2004,1624.333,55,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Robert S. Morrison,3M CO,12/6/2005,6/30/2005,2005,604.545,63,chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"George W. Buckley, Ph.D.",3M CO,2/24/2012,12/1/2005,2011,1720,64,Chairman,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
"Inge G. Thulin, M.B.A.",3M CO,6/1/2018,2/24/2012,2017,1526.595,63,"Chairman, CEO & President",MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Michael F. Roman,3M CO,5/1/2024,7/1/2018,2023,1464.544,63,Chairman & CEO,MALE,Saint Paul,MN,MMM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
Alfred R. Kahn,4LICENSING CORP,1/10/2011,3/1/1991,2011,Mentioned as zero,64,Chairman and Chief Executive Officer,MALE,New York,NY,FOURQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOURQ
"Bruce R. Foster, CPA, CPA",4LICENSING CORP,Current,10/16/2012,2014,250,54,"Chief Executive Officer, Chief Financial Officer, Principal Accounting Officer, Executive Vice President and Director",MALE,New York,NY,FOURQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOURQ
Bryan R. Martin,8X8 INC,9/9/2013,2/1/2002,2012,275,45,Executive Chairman and Chief Executive Officer,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
Vikram Verma,8X8 INC,12/10/2020,9/9/2013,2020,447.504,56,CEO & Director,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
David D. Sipes,8X8 INC,11/30/2022,12/10/2020,2022,367.944,56,CEO & Director,MALE,Campbell,CA,EGHT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EGHT
David Gold,99 CENTS ONLY STORES,Current,1/1/1965,2004,114.423,73,chairman & CEO,MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Eric J. Schiffer,99 CENTS ONLY STORES,1/1/2013,1/1/2005,2012,499.373,52,"Chief Executive Officer, Assistant Corporate Secretary, Director and Chairman of the Executive Committee",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Richard A. Anicetti,99 CENTS ONLY STORES,9/1/2013,1/1/2013,2013,476.167,56,"Interim Chief Executive Officer, Interim President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
"Stephane Gonthier, LLB, MBA",99 CENTS ONLY STORES,5/1/2015,9/1/2013,2014,910.385,48,"Chief Executive Officer, President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Geoffrey J. Covert,99 CENTS ONLY STORES,2/1/2018,9/11/2015,2016,900,66,"Chief Executive Officer, President and Director",MALE,City Of Commerce,CA,NDN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDN
Gary D. Lemke,A S V INC,6/1/2006,7/1/2004,2005,231.5,65,chairman & CEO,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Richard A. Benson,A S V INC,Current,6/1/2006,2006,105000,64,chairman & CEO,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Andrew M. Rooke,A S V INC,12/1/2019,12/1/2016,2016,341.856,58,Chief Executive Officer,MALE,Grand Rapids,MN,ASVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASVI
Lee Chen,A10 NETWORKS INC,12/2/2019,7/1/2004,2019,Mentioned as zero,65,"Founder, Chairman, Chief Executive Officer and President",MALE,San Jose,CA,ATEN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATEN
Dhrupad Trivedi,A10 NETWORKS INC,Current,12/2/2019,2023,672.917,56,"Board Chair, President & CEO",MALE,San Jose,CA,ATEN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATEN
Norman H. Asbjornson,AAON INC,5/1/2020,1/1/1989,2019,480.96,83,Founder & Executive Chairman,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Gary D. Fields,AAON INC,Current,5/12/2020,2023,745.192,63,CEO & Director,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Scott M. Asbjornson,AAON INC,Current,,2011,176.063,42,President of AAON Coil Products Inc,MALE,Tulsa,OK,AAON,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAON
Ira A. Eichner,AAR CORP,10/1/1996,1/1/1955,1995,498.4,65,chmn. & CEO,MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
David P. Storch,AAR CORP,5/31/2018,10/9/1996,2017,941,65,Chairman & CEO,MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
"John McClain Holmes, III",AAR CORP,Current,6/1/2018,2022,1000,46,"CEO, President & Chairman of the Board",MALE,Wood Dale,IL,AIR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIR
Douglas A. Lindsay,AARONS CO INC (THE),Current,11/30/2020,2023,850,52,CEO & Director,MALE,Atlanta,GA,AAN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAN
Clinton H. Severson,ABAXIS INC,Current,6/1/1996,2017,575,70,Chairman of the Board & CEO,MALE,Union City,CA,ABAX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABAX
Timothy M. Aitken,ABBEY HEALTHCARE GROUP INC,11/10/1993,8/1/1991,1994,350,50,"chmn., CEO & pres.",MALE,Costa Mesa,CA,ABBY.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBY.1
Duane L. Burnham,ABBOTT LABORATORIES,12/31/1998,12/1/1989,1998,913.077,56,chmn.,MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
"Miles D. White, M.B.A.",ABBOTT LABORATORIES,3/31/2020,1/1/1999,2019,1900,64,Executive Chairman,MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
Robert B. Ford,ABBOTT LABORATORIES,Current,3/31/2020,2023,1500,49,"Chairman of the Board, President & CEO",MALE,North Chicago,IL,ABT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
Richard A. Gonzalez,ABBVIE INC,Current,1/1/2013,2023,1700,69,Chairman & CEO,MALE,North Chicago,IL,ABBV,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
Michael S. Jeffries,ABERCROMBIE & FITCH  -CL A,12/8/2014,2/1/1992,2014,1303.846,69,"Chief Executive Officer, Director and Member of Executive Committee",MALE,New Albany,OH,ANF,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANF
Jonathan E. Ramsden,ABERCROMBIE & FITCH  -CL A,6/12/2016,12/8/2014,2015,995,50,Interim Principal Executive Officer and Chief Operating Officer,MALE,New Albany,OH,ANF,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANF
Joanne C. Crevoiserat,ABERCROMBIE & FITCH  -CL A,1/31/2017,6/13/2016,2016,800,52,"Chief Financial Officer, Chief Operating Officer and Executive Vice President",FEMALE,New Albany,OH,ANF,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANF
Fran Horowitz,ABERCROMBIE & FITCH  -CL A,Current,2/1/2017,2023,1401.923,59,CEO & Director,FEMALE,New Albany,OH,ANF,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANF
"R. Scott Greer, CPA",ABGENIX INC,5/1/2002,6/1/1996,2001,395,43,CEO,MALE,Fremont,CA,ABGX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABGX
Raymond M. Withy,ABGENIX INC,8/30/2004,5/1/2001,2004,453.844,49,president & CEO,MALE,Fremont,CA,ABGX,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABGX
Michael R. Minogue,ABIOMED INC,12/22/2022,4/1/2004,2021,788.631,55,"Chairman, CEO & President",MALE,Danvers,MA,ABMD,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABMD
Sydney J. Rosenberg,ABM INDUSTRIES INC,11/1/1994,11/1/1991,1994,360.5,80,chmn. & CEO,MALE,New York,NY,ABM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABM
William W. Steele,ABM INDUSTRIES INC,10/1/2000,11/1/1994,2000,632.942,64,president & CEO,MALE,New York,NY,ABM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABM
Henrik C. Slipsager,ABM INDUSTRIES INC,3/31/2015,11/1/2000,2014,888.666,59,"Chief Executive Officer, President, Executive Director and Member of Executive Committee",MALE,New York,NY,ABM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABM
Scott B. Salmirs,ABM INDUSTRIES INC,Current,3/31/2015,2023,1000,61,"President, CEO & Director",MALE,New York,NY,ABM,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABM
Stephen A. Garofalo,ABOVENET INC,Current,10/1/1996,2000,408.077,49,chairman & CEO,MALE,White Plains,NY,ABVT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABVT
William G. LaPerch,ABOVENET INC,Current,3/1/2004,2011,550,55,"Chief Executive Officer, President and Director",MALE,White Plains,NY,ABVT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABVT
Kenneth C. Hicks,ACADEMY SPO AND OU INC,6/1/2023,5/1/2018,2022,1100,70,"Chairman, President & CEO",MALE,Katy,TX,ASO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASO
Steven Paul Lawrence,ACADEMY SPO AND OU INC,Current,6/1/2023,2023,949.1,55,CEO & Director,MALE,Katy,TX,ASO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ASO
Trey Carter,ACADIA HEALTHCARE CO INC,2/1/2011,5/14/2007,2010,317.474,44,,MALE,Franklin,TN,ACHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACHC
Joey A. Jacobs,ACADIA HEALTHCARE CO INC,12/16/2018,3/16/2011,2018,1124.5,65,Chairman and Chief Executive Officer,MALE,Franklin,TN,ACHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACHC
Debra K. Osteen,ACADIA HEALTHCARE CO INC,3/31/2022,12/16/2018,2021,1000,65,CEO & Director,FEMALE,Franklin,TN,ACHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACHC
Christopher Howal Hunter,ACADIA HEALTHCARE CO INC,Current,4/11/2022,2023,1000,55,CEO & Director,MALE,Franklin,TN,ACHC,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACHC
Kenneth F. Bernstein,ACADIA REALTY TRUST,Current,1/1/2001,2023,850,62,"President, CEO & Trustee",MALE,Rye,NY,AKR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKR
Richard T. Aab,ACC CORP,10/6/1995,8/1/1983,1995,284.615,46,chmn. & CEO,MALE,Rochester,NY,ACCC.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACCC.
David K. Laniak,ACC CORP,12/5/1997,10/5/1995,1996,300,61,chmn. & CEO,MALE,Rochester,NY,ACCC.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACCC.
"Joe W. Forehand, Jr.",ACCENTURE PLC,9/1/2004,1/11/1999,2004,1968,56,chairman & CEO,MALE,Dublin,,ACN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
William D. Green,ACCENTURE PLC,1/1/2011,9/1/2004,2010,1250,56,"Chairman of Executive Leadership Team, Chairman and Chief Executive Officer",MALE,Dublin,,ACN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
Pierre Nanterme,ACCENTURE PLC,1/10/2019,1/1/2011,2018,1077.05,59,Chairman & CEO,MALE,Dublin,,ACN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
David P. Rowland,ACCENTURE PLC,9/1/2019,1/10/2019,2019,1136.125,58,Chief Financial Officer,MALE,Dublin,,ACN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
Julie T. Spellman Sweet,ACCENTURE PLC,Current,9/1/2019,2023,1537.5,56,CEO & Chairman,FEMALE,Dublin,,ACN,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
Thomas E. Gardner,ACCESS HEALTH INC,Current,,1997,105.19,,pres. & CEO,MALE,Broomfield,CO,ACCS.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACCS.1
David D. Stevens,ACCREDO HEALTH INC,Current,1/1/1996,2004,433.138,51,chairman & CEO,MALE,Memphis,TN,ACDO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACDO
"Catherine M. Burzik, M.A.",ACELITY HOLDINGS INC -REDH,1/1/2012,11/6/2006,2012,1400000,62,Executive Director and Chairman of Technology Committee,FEMALE,San Antonio,TX,9566B,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=9566B
Joseph F. Woody,ACELITY HOLDINGS INC -REDH,4/1/2017,1/1/2012,2015,882.121,49,"Chief Executive Officer, President and Director",MALE,San Antonio,TX,9566B,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=9566B
Leonard S. Schwartz,ACETO CORP,11/20/2009,7/1/1997,2009,441.438,63,Director,MALE,Port Washington,NY,ACETQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACETQ
Vincent G. Miata,ACETO CORP,9/1/2010,11/20/2009,2010,304.958,57,President and Chief Operating Officer,MALE,Port Washington,NY,ACETQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACETQ
Albert L. Eilender,ACETO CORP,1/2/2013,9/8/2010,2013,576.594,70,Chairman,MALE,Port Washington,NY,ACETQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACETQ
Salvatore J. Guccione,ACETO CORP,9/27/2017,1/2/2013,2017,619.914,54,"Chief Executive Officer, President and Director",MALE,Port Washington,NY,ACETQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACETQ
"William C. Kennally, III",ACETO CORP,5/31/2019,9/1/2017,2018,436.781,63,"President, CEO & Director",MALE,Port Washington,NY,ACETQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACETQ
David C. Russell,ACI WORLDWIDE INC,5/1/2000,1/1/2000,2000,241.25,,president & CEO,MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
William E. Fisher,ACI WORLDWIDE INC,5/1/2001,5/1/2000,2001,117.391,53,chairman & CEO,MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
Gregory D. Derkacht,ACI WORLDWIDE INC,3/8/2005,1/1/2002,2004,360,57,president & CEO,MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
Philip George Heasley,ACI WORLDWIDE INC,12/31/2019,3/8/2005,2019,720,69,"Chief Executive Officer, President and Director",MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
Odilon Almeida,ACI WORLDWIDE INC,11/9/2022,3/9/2020,2022,596.795,61,"President, CEO & Director",MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
"Thomas Woodrow Warsop, III",ACI WORLDWIDE INC,Current,11/8/2022,2023,2062.5,57,"CEO, President & Director",MALE,Elkhorn,NE,ACIW,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACIW
Brian H. W. Marsden,ACME METALS INC,4/15/1996,6/1/1986,1995,430,64,chmn. & CEO,MALE,Riverdale,IL,AMIIQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMIIQ
Stephen D. Bennett,ACME METALS INC,Current,4/15/1996,2000,470,51,president & CEO,MALE,Riverdale,IL,AMIIQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMIIQ
Nicholas L. Trivisonno,ACNIELSEN CORP,Current,5/1/1996,1999,600,52,chmn. & CEO,MALE,New York,NY,ART.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ART.2
"Ron Cohen, M.D.",ACORDA THERAPEUTICS INC,Current,1/1/1995,2023,625,67,"Founder, CEO, President & Director",MALE,Pearl River,NY,ACORQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACORQ
John C. East,ACTEL CORP,1/1/2010,12/1/1988,2009,422,64,"Chief Executive Officer, President and Director",MALE,Mountain View,CA,ACTL.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACTL.1
John F. Reno,ACTERNA CORP,5/19/1999,1/1/1993,1998,507.5,59,"chairman, president & CEO",MALE,Germantown,MD,3ACTRQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=3ACTRQ
Ned C. Lautenbach,ACTERNA CORP,3/7/2003,5/20/1999,2002,Mentioned as zero,59,chairman & CEO,MALE,Germantown,MD,3ACTRQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=3ACTRQ
Fred W. Wagenhals,ACTION PERFORMANCE COS INC,Current,5/1/1992,2004,798.25,63,"chairman, president & CEO",MALE,Concord,NC,ATN.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATN.2
Robert A. Kotick,ACTIVISION BLIZZARD INC,Current,2/1/1991,2022,154613318,59,CEO & Director,MALE,Santa Monica,CA,ATVI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
Robert A. Kotick,ACTIVISION INC,Current,2/1/1991,2008,743.98,46,chairman & CEO,MALE,Santa Monica,CA,ATVI.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI.1
James S. Balloun,ACUITY BRANDS INC,8/31/2004,12/1/2001,2004,850,66,chairman & CEO,MALE,Atlanta,GA,AYI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
Vernon J. Nagel,ACUITY BRANDS INC,1/31/2020,9/1/2004,2019,600,62,"Chairman, Chief Executive Officer and President",MALE,Atlanta,GA,AYI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
Neil M. Ashe,ACUITY BRANDS INC,Current,1/31/2020,2023,1000,55,"Chairman, President & CEO",MALE,Atlanta,GA,AYI,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
Pat V. Costa,ACUITY CIMATRIX INC,Current,1/1/1984,2003,255.042,60,CEO,MALE,Nashua,NH,RVSIQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RVSIQ
Samuel H. Maslak,ACUSON CORP,Current,9/1/1981,1999,666.442,51,chmn. & CEO,MALE,Mountain View,CA,ACN.2,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN.2
David L. Lowe,ADAC LABORATORIES,8/1/1997,3/1/1994,1997,500.458,37,chmn.,MALE,Milpitas,CA,ADAC.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADAC.
"Robert Andrew Eckert, MBA",ADAC LABORATORIES,Current,8/1/1997,1999,500,38,CEO,MALE,Milpitas,CA,ADAC.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADAC.
Stanley D. Czerwinski,ADAC LABORATORIES,11/2/1994,,1994,500,59,chmn. & co-CEO,MALE,Milpitas,CA,ADAC.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADAC.
Luke McGee,ADAPTHEALTH CORP,6/14/2021,1/1/2012,2021,243.875,37,Co-CEO & Director (Leave of Absence),MALE,Plymouth Meeting,PA,AHCO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AHCO
Stephen P. Griggs,ADAPTHEALTH CORP,6/30/2023,2/2/2021,2023,324.519,65,CEO & Director,MALE,Plymouth Meeting,PA,AHCO,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AHCO
Philip F. Otto,ADAPTIVE BROADBAND CORP.,12/1/1996,3/1/1992,1997,259.554,55,"chmn., pres. & CEO",MALE,San Jose,CA,ADAP.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADAP.1
Frederick D. Lawrence,ADAPTIVE BROADBAND CORP.,Current,7/1/1997,2000,450,52,chmn. & CEO,MALE,San Jose,CA,ADAP.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADAP.1
William J. Cadogan,ADC TELECOMMUNICATIONS INC,2/15/2001,11/1/1991,2000,750.076,52,"chairman, president & CEO",MALE,Eden Prairie,MN,ADCT.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADCT.1
Richard R. Roscitt,ADC TELECOMMUNICATIONS INC,8/13/2003,2/15/2001,2003,767.63,51,"chairman, president & CEO",MALE,Eden Prairie,MN,ADCT.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADCT.1
Robert E. Switz,ADC TELECOMMUNICATIONS INC,Current,8/1/2003,2010,767.831,64,"Chairman, Chief Executive Officer and President",MALE,Eden Prairie,MN,ADCT.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADCT.1
Larry Addington,ADDINGTON RESOURCES INC,9/22/1995,,1995,211.539,60,CEO,MALE,Lexington,KY,ADDR,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADDR
Mark S. Heaney,ADDUS HOMECARE CORP,1/18/2016,6/1/2009,2015,426.108,59,"Chairman, Chief Executive Officer and President",MALE,Frisco,TX,ADUS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADUS
R. Dirk Allison,ADDUS HOMECARE CORP,Current,1/16/2016,2023,940.385,67,CEO & Chairman of the Board,MALE,Frisco,TX,ADUS,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADUS
"Bruce M. McWilliams, Ph.D.",ADEIA INC,8/1/2008,6/1/1999,2008,454.308,52,"chairman, president, CEO, and chief strategy officer",MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
Henry R. Nothhaft,ADEIA INC,5/1/2011,8/1/2008,2010,527.031,66,"Chairman, Chief Executive Officer and President",MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
"Robert A. Young, Ph.D.",ADEIA INC,4/15/2013,5/1/2011,2013,194.893,70,"Chief Executive Officer, President and Director",MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
Jon E. Kirchner,ADEIA INC,Current,6/1/2020,2022,562.5,54,"CEO, President & Director",MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
Paul E. Davis,ADEIA INC,Current,10/1/2022,2023,625,48,CEO & Director,MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
Thomas A. Lacey,ADEIA INC,Current,,2016,500,57,Chief Executive Officer and Director,MALE,San Jose,CA,ADEA,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADEA
Thomas S. Hall,ADEPTUS HEALTH INC,11/8/2016,1/1/2012,2015,614.054,54,Chairman and Chief Executive Officer,MALE,Austin,TX,ADPTQ,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADPTQ
David G. Gartzke,ADESA INC,Current,1/1/2004,2006,639.658,63,chairman & CEO,MALE,Carmel,IN,KAR.1,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KAR.1
R. Bruce McDonald,ADIENT PLC,6/11/2018,10/31/2016,2018,1530,57,Chairman and Chief Executive Officer,MALE,Dublin,,ADNT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADNT
Douglas G. Del Grosso,ADIENT PLC,12/31/2023,10/1/2018,2023,829.5,61,"President, CEO & Director",MALE,Dublin,,ADNT,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADNT
